date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2019-10-01,Y56,"LONDON COMMISSIONING REGION",274094,2925094.98,0,0
2019-10-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",284908,2807250.89,0,0
2019-10-01,Y59,"SOUTH EAST COMMISSIONING REGION",340554,3867544.61,0,0
2019-10-01,Y62,"NORTH WEST COMMISSIONING REGION",401557,3749842.51,0,0
2019-10-01,Y60,"MIDLANDS COMMISSIONING REGION",477684,5071357.2,0,0
2019-10-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",493255,4267579.51,0,0
2019-11-01,Y58,"SOUTH WEST COMMISSIONING REGION",236816,2461280.44,0,0
2019-11-01,Y56,"LONDON COMMISSIONING REGION",261467,2837429.14,0,0
2019-11-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",276023,2752963.96,0,0
2019-11-01,Y59,"SOUTH EAST COMMISSIONING REGION",326565,3748010.81,0,0
2019-11-01,Y62,"NORTH WEST COMMISSIONING REGION",381251,3572590.73,0,0
2019-11-01,Y60,"MIDLANDS COMMISSIONING REGION",455313,4881938.32,0,0
2019-11-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",469220,4102526.42,0,0
2019-12-01,Y58,"SOUTH WEST COMMISSIONING REGION",244088,2547777.49,0,0
2019-12-01,Y56,"LONDON COMMISSIONING REGION",266838,2912149.73,0,0
2019-12-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",281424,2806307.62,0,0
2019-12-01,Y59,"SOUTH EAST COMMISSIONING REGION",336746,3889824.6,0,0
2019-12-01,Y62,"NORTH WEST COMMISSIONING REGION",391678,3679077.88,0,0
2019-12-01,Y60,"MIDLANDS COMMISSIONING REGION",469676,5059715.45,0,0
2019-12-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",484204,4220011.05,0,0
2020-01-01,Y58,"SOUTH WEST COMMISSIONING REGION",247236,2487188.38,0,0
2020-01-01,Y56,"LONDON COMMISSIONING REGION",273201,2841821.88,0,0
2020-01-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",286481,2716386.51,0,0
2020-01-01,Y59,"SOUTH EAST COMMISSIONING REGION",337996,3742094.6,0,0
2020-01-01,Y62,"NORTH WEST COMMISSIONING REGION",401367,3650208.84,0,0
2020-01-01,Y60,"MIDLANDS COMMISSIONING REGION",480271,4948699.25,0,0
2020-01-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",494372,4177345.78,0,0
2020-02-01,Y58,"SOUTH WEST COMMISSIONING REGION",226272,2289189.33,0,0
2020-02-01,Y56,"LONDON COMMISSIONING REGION",251236,2613028.52,0,0
2020-02-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",261242,2479873.38,0,0
2020-02-01,Y59,"SOUTH EAST COMMISSIONING REGION",310598,3417788.88,0,0
2020-02-01,Y62,"NORTH WEST COMMISSIONING REGION",360983,3272301.48,0,0
2020-02-01,Y60,"MIDLANDS COMMISSIONING REGION",436296,4483064.41,0,0
2020-02-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",444622,3730529.15,0,0
2020-03-01,Y58,"SOUTH WEST COMMISSIONING REGION",251960,2697836.04,0,0
2020-03-01,Y56,"LONDON COMMISSIONING REGION",276036,3162120.73,0,0
2020-03-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",293160,2970650.02,0,0
2020-03-01,Y59,"SOUTH EAST COMMISSIONING REGION",351001,4136022.1,0,0
2020-03-01,Y62,"NORTH WEST COMMISSIONING REGION",408267,3913550.83,0,0
2020-03-01,Y60,"MIDLANDS COMMISSIONING REGION",491909,5345348.97,0,0
2020-03-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",498137,4462716.73,0,0
2020-04-01,Y58,"SOUTH WEST COMMISSIONING REGION",248940,2604749.75,0,0
2020-04-01,Y56,"LONDON COMMISSIONING REGION",268259,2814878.14,0,0
2020-04-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",286130,2819974.27,0,0
2020-04-01,Y59,"SOUTH EAST COMMISSIONING REGION",338717,3788755.29,0,0
2020-04-01,Y62,"NORTH WEST COMMISSIONING REGION",395019,3714443.72,0,0
2020-04-01,Y60,"MIDLANDS COMMISSIONING REGION",473444,4989577.41,0,0
2020-04-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",486984,4170888.96,0,0
2020-05-01,Y58,"SOUTH WEST COMMISSIONING REGION",233788,2433277.67,0,0
2020-05-01,Y56,"LONDON COMMISSIONING REGION",257569,2704971.83,0,0
2020-05-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",272423,2648527.54,0,0
